description,category
New Mango Jacket,Shopping
Tian Tian,Groceries
Octopus Eng,Bills
Thames Water,Bills
Council Tax,Bills
TKmaxx,Shopping
Wifi,Bills
Snoopy Vet,Dogs
Lidl,Groceries
Pizza lunch w kai,Eating Out
UBS,Eating Out
Icloud,Bills
Lidl,Groceries
Lidl,Groceries
UBS,Eating Out
Three Unc,Eating Out
Lidl,Groceries
M&S,Groceries
Pizza @ Selfridges,Eating Out
Dog food,Dogs
Slade Cafe,Eating Out
Tsujiri,Eating Out
Donation to church,Gifts
Seoul Plaza,Groceries
C&R,Eating Out
Kebab,Eating Out
Iceland,Groceries
Kebab,Eating Out
Oyster,Transportation
Tesco,Groceries
UBS,Eating Out
Lidl,Groceries
UBS,Eating Out
UBS,Eating Out
UBS,Eating Out
Heytea,Eating Out
UBS,Eating Out
Garbanzos,Eating Out
Lidl,Groceries
Eat Tokyo,Eating Out
Asian Mart,Groceries
Tsujiri,Eating Out
Oyster Topup,Transportation
Rent,Bills
Gails Breakfast,Eating Out
TKMaxx Shampoo & skincare,Grooming
Snoopy Meds,Dogs
Donation,Gifts
Burger & Beyomd,Eating Out
Garbanzos,Eating Out
UBS,Eating Out
UBS,Eating Out
M&S,Groceries
UBS,Eating Out
Dishoom w Laasya & Yx,Eating Out
Gails Lunch,Eating Out
Easyjet to Amsterdam,Travel
amsterdam hotel,Travel
Dogsit when Japan,Travel
Oyster Topup,Transportation
Noodle n Beer,Entertainment / Social
Voxi,Bills
Tsujiri,Entertainment / Social
Lidl,Groceries
Pillow Ikea,Shopping
Ikea Meatballs,Entertainment / Social
Ikea sausage n ice cream ,Entertainment / Social
ikea lunch,Entertainment / Social
Oyster Topup,Transportation
Yonder Annual Membership,Bills
Haircut,Grooming
Lidl,Groceries
Golden Gate,Entertainment / Social
UBS Breakfast,Entertainment / Social
Waggel Dog Insurance,Dogs
UBS Breakfast,Entertainment / Social
Tsujiri,Entertainment / Social
Eat Tokyo,Entertainment / Social
Lunch UBS,Entertainment / Social
UBS Breakfast,Entertainment / Social
Heating SSE,Bills
UBS Breakfast,Entertainment / Social
UBS Fish n Chips,Entertainment / Social
Tkmaxx,Dogs
Lidl,Groceries
Robin Birthday Treat,Entertainment / Social
Oyster Topup,Transportation
UBS Breakfast,Eating Out
UBS M&M,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
UBS M&M,Eating Out
UBS M&M,Eating Out
Drinks w Krishna,Eating Out
Lunch UBS,Eating Out
UBS Breakfast,Eating Out
Viet Baguette,Eating Out
Icloud,Bills
UBS M&M,Eating Out
Lunch UBS,Eating Out
UBS Breakfast,Eating Out
Tesco,Groceries
Oyster Topup,Transportation
Lidl,Groceries
Tesco,Groceries
MNS,Groceries
UBS Brekfast,Eating Out
lunch ubs,Eating Out
Badminton,Entertainment / Social
lunch ubs,Eating Out
lunch ubs,Eating Out
UBS Breafast,Eating Out
Lusa w Nicole,Entertainment / Social
lunch ubs,Eating Out
Oyster Topup,Transportation
lunch ubs,Eating Out
yiban,Entertainment / Social
Banh mi,Entertainment / Social
mns,Entertainment / Social
Tian Tian,Groceries
Lidl,Groceries
UBS Breakfast,Eating Out
Noodles Lunch w Zarek,Entertainment / Social
MnM ubs,Eating Out
UBS Breakfast,Eating Out
lunch ubs,Eating Out
Donation Homeless,Gifts
Eat Tokyo,Entertainment / Social
UBS Breakfast,Eating Out
MnM ubs,Eating Out
Rent,Bills
Thames Water,Bills
Oyster Topup,Transportation
Lidl,Groceries
Octopus Energy,Bills
Lidl,Groceries
yipan,Entertainment / Social
Tesco,Groceries
Lidl,Groceries
Oyster Topup,Transportation
MnS,Groceries
Lidl,Groceries
Salt Pizza Lunch w Nicole,Entertainment / Social
Banh mi / Pho,Eating Out
Legal fees house,Shopping
Tesco Groceries,Groceries
dog insurnace,Eating Out
Burrito bowl,Eating Out
pooch n mutt,Dogs
mns,Groceries
fishnchips,Eating Out
avanzar surveyors,Shopping
Wifi,Bills
MnS,Groceries
MnS,Groceries
voxi,Bills
doner,Eating Out
woolwich fish mkt,Groceries
katsu office,Eating Out / Social
mns,Groceries
mns,Groceries
Noodle n Beer,Eating Out / Social
New Walking Shoes,Shopping
katsu office,Eating Out / Social
mns,Groceries
Voxi,Bills
Biang Biang Noodles,Eating Out / Social
Train Amsterdam,Travel
Linguini ,Eating Out / Social
Bulldog Drinks,Eating Out / Social
Red Light Bar Drinks,Eating Out / Social
Uber Amsterdam,Travel
iCloud,Bills
Omelegg Amsterdam,Eating Out / Social
Fries Amsterdam,Eating Out / Social
WowCrab Amsterdam,Eating Out / Social
Amsterdam Supermkt,Groceries
Water Amsterdam,Groceries
Cafe Amsterdam,Eating Out / Social
Bus Amsterdam,Travel
Thames Water,Bills
Elec ,Bills
Lidl,Groceries
Tesco,Groceries
Oyster,Transportation
Dial Arch,Eating Out / Social
Eat Tokyo w Aloy,Eating Out / Social
Lidl,Groceries
mns,Groceries
Eat Tokyo,Eating Out / Social
ubs breakfast,Eating Out / Social
ubs breakfast,Eating Out / Social
ubs,Eating Out / Social
Tesco,Groceries
Oyster,Transportation
Lidl,Groceries
Tea from tkmax,Groceries
lidl bread,Groceries
DisneySea,Travel
yoga,Social Activities
mns cake,Gifts
atm,Eating Out / Social
atm,Eating Out / Social
c2c cable,Shopping
Puzzle Amsterdam,Shopping
Dog Food,Dogs
Hotel tax Amsterdam,Travel
Tesco,Groceries
Lidl,Groceries
Lidl,Groceries
Rent,Bills
Hoshi,Eating Out / Social
Popeyes,Eating Out / Social
Lidl,Groceries
M&Ms,Eating Out / Social
Three Uncles,Eating Out / Social
Donation,Gifts
Yeye Noodles,Eating Out / Social
Tsujiri,Eating Out / Social
TKMaxx - poop bag,Dogs
Lidl,Groceries
mns,Groceries
Oyster,Transportation
ubs breakfasrt,Eating Out / Social
mints ubs,Eating Out / Social
Voxi,Bills
UBS breakfast,Eating Out / Social
ubs mnm,Eating Out / Social
Badminton,Social Activities
Lidl,Groceries
Hail Mary Odeon,Social Activities
Greek box ,Eating Out / Social
phad thai,Eating Out / Social
popcorn mns,Social Activities
Waggel,Dogs
UBS Breakfast,Eating Out / Social
Donation Church,Gifts
UNiqlo,Shopping
Lunch w Janelle,Eating Out / Social
LSE Fried Rice,Eating Out / Social
TKMaxx,Shopping
Lidl,Groceries
Oyster Topup,Transportation
ubs mnm,Eating Out / Social
mns,Groceries
roti king,Eating Out / Social
pints w Jan,Eating Out / Social
ubs breakfast,Eating Out / Social
mns,Groceries
lidl,Groceries
mns,Groceries
badminton,Social Activities
Lidl,Groceries
mns,Groceries
Dog Park w Nicole,Social Activities
Tesco,Groceries
mns,Groceries
Donation Church,Gifts
Plaza Khao Gaeng w Nicole Treat Robin,Eating Out / Social
tjx,Shopping
Oyster topup,Transportation
Lidl,Groceries
Thames Water,Bills
Council,Bills
icloud,Bills
Thames Water,Bills
Elec ,Bills
Whittard for gifts,Gifts
boots,Grooming
mns,Groceries
ubs breakfast,Eating Out / Social
UBS,Eating Out / Social
Yeye Noodle,Eating Out / Social
Oyster topup,Transportation
Tesco,Groceries
ubs breakfast,Eating Out / Social
mns,Groceries
Tesco,Groceries
Foxtons,Bills
Esim singapore,Travel
NTUC Singapore,Groceries
Singapore public transport,Travel
Birds of paradise singapore,Eating Out / Social
Singapore transport,Travel
Maya mobile japan esim,Travel
japan combini,Eating Out / Social
suica,Travel
train ticket japan,Travel
Ichiran,Eating Out / Social
japan combini,Eating Out / Social
japan combini,Eating Out / Social
japan combini,Eating Out / Social
suica,Travel
food,Eating Out / Social
Locker,Eating Out / Social
Lawson,Eating Out / Social
yakiniku,Eating Out / Social
Daiso,Shopping
7-11,Eating Out / Social
Suica,Travel
Montbell,Shopping
japan combini,Eating Out / Social
japan combini,Eating Out / Social
Daily Yamazaki,Eating Out / Social
lawson,Eating Out / Social
suica,Travel
food shinkansen,Eating Out / Social
Shinkansen,Travel
food arashimaya,Eating Out / Social
arashimaya bread,Eating Out / Social
7-11,Eating Out / Social
tokyo disney sea,Eating Out / Social
Suica,Travel
suica,Travel
japan combinii,Eating Out / Social
Lawson,Eating Out / Social
unatoto tokyo,Eating Out / Social
Daiso,Shopping
Bento Tokyo,Eating Out / Social
Montbell Tokyo,Shopping
Singapore Transport,Travel
Expensive dessert,Eating Out / Social
Uniqlo,Shopping
Eating at arata recc,Eating Out / Social
Groceries Jpn,Groceries
Suica,Travel
Voxi,Bills
Uniqlo,Shopping
Donki,Shopping
Suica,Travel
Suica,Travel
Suica,Travel
Roku Gin,Shopping
Heavenly Wang,Eating Out / Social
Waggel,Dogs
iceland eggs,Groceries
Lidl,Groceries
UBS,Eating Out / Social
UBS,Eating Out / Social
M&S,Eating Out / Social
Lidl,Groceries
Oyster Topup,Transportation
MnS,Groceries
Virgin,Bills
SSE Heating,Bills
Dishoom,Shopping
Noodle n Beer,Eating Out / Social
UBS,Eating Out / Social
UBS,Eating Out
badminton,Social
UBS,Eating Out
Tesco,Groceries
Lidl,Groceries
Beer,Eating Out
