description,category
New Mango Jacket,Shopping
Tian Tian,Groceries
Octopus Eng,Bills
Thames Water,Bills
Council Tax,Bills
TKmaxx,Shopping
Wifi,Bills
Snoopy Vet,Dogs
Lidl,Groceries
Pizza lunch w kai,Eating Out
UBS,Eating Out
Icloud,Bills
Lidl,Groceries
Lidl,Groceries
UBS,Eating Out
Three Unc,Eating Out
Lidl,Groceries
M&S,Groceries
Pizza @ Selfridges,Eating Out
Dog food,Dogs
Slade Cafe,Eating Out
Tsujiri,Eating Out
Donation to church,Gifts
Seoul Plaza,Groceries
C&R,Eating Out
Kebab,Eating Out
Iceland,Groceries
Kebab,Eating Out
Oyster,Transportation
Tesco,Groceries
UBS,Eating Out
Lidl,Groceries
UBS,Eating Out
UBS,Eating Out
UBS,Eating Out
Heytea,Eating Out
UBS,Eating Out
Garbanzos,Eating Out
Lidl,Groceries
Eat Tokyo,Eating Out
Asian Mart,Groceries
Tsujiri,Eating Out
Oyster Topup,Transportation
Rent,Bills
Gails Breakfast,Eating Out
TKMaxx Shampoo & skincare,Grooming
Snoopy Meds,Dogs
Donation,Gifts
Burger & Beyomd,Eating Out
Garbanzos,Eating Out
UBS,Eating Out
UBS,Eating Out
M&S,Groceries
UBS,Eating Out
Dishoom w Laasya & Yx,Eating Out
Gails Lunch,Eating Out
Easyjet to Amsterdam,Travel
amsterdam hotel,Travel
Dogsit when Japan,Travel
Oyster Topup,Transportation
Noodle n Beer,Social
Voxi,Bills
Tsujiri,Social
Lidl,Groceries
Pillow Ikea,Shopping
Ikea Meatballs,Social
Ikea sausage n ice cream ,Social
ikea lunch,Social
Oyster Topup,Transportation
Yonder Annual Membership,Bills
Haircut,Grooming
Lidl,Groceries
Golden Gate,Social
UBS Breakfast,Social
Waggel Dog Insurance,Dogs
UBS Breakfast,Social
Tsujiri,Social
Eat Tokyo,Social
Lunch UBS,Social
UBS Breakfast,Social
Heating SSE,Bills
UBS Breakfast,Social
UBS Fish n Chips,Social
Tkmaxx,Dogs
Lidl,Groceries
Robin Birthday Treat,Social
Oyster Topup,Transportation
UBS Breakfast,Eating Out
UBS M&M,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
UBS M&M,Eating Out
UBS M&M,Eating Out
Drinks w Krishna,Eating Out
Lunch UBS,Eating Out
UBS Breakfast,Eating Out
Viet Baguette,Eating Out
Icloud,Bills
UBS M&M,Eating Out
Lunch UBS,Eating Out
UBS Breakfast,Eating Out
Tesco,Groceries
Oyster Topup,Transportation
Lidl,Groceries
Tesco,Groceries
MNS,Groceries
UBS Brekfast,Eating Out
lunch ubs,Eating Out
Badminton,Social
lunch ubs,Eating Out
lunch ubs,Eating Out
UBS Breafast,Eating Out
Lusa w Nicole,Social
lunch ubs,Eating Out
Oyster Topup,Transportation
lunch ubs,Eating Out
yiban,Social
Banh mi,Social
mns,Social
Tian Tian,Groceries
Lidl,Groceries
UBS Breakfast,Eating Out
Noodles Lunch w Zarek,Social
MnM ubs,Eating Out
UBS Breakfast,Eating Out
lunch ubs,Eating Out
Donation Homeless,Gifts
Eat Tokyo,Social
UBS Breakfast,Eating Out
MnM ubs,Eating Out
Rent,Bills
Thames Water,Bills
Oyster Topup,Transportation
Lidl,Groceries
Octopus Energy,Bills
Lidl,Groceries
yipan,Social
Tesco,Groceries
Lidl,Groceries
Oyster Topup,Transportation
MnS,Groceries
Lidl,Groceries
Salt Pizza Lunch w Nicole,Social
Banh mi / Pho,Eating Out
Legal fees house,Shopping
Tesco Groceries,Groceries
dog insurnace,Eating Out
Burrito bowl,Eating Out
pooch n mutt,Dogs
mns,Groceries
fishnchips,Eating Out
avanzar surveyors,Shopping
Wifi,Bills
MnS,Groceries
MnS,Groceries
voxi,Bills
doner,Eating Out
woolwich fish mkt,Groceries
katsu office,Eating Out
mns,Groceries
mns,Groceries
Noodle n Beer,Eating Out
New Walking Shoes,Shopping
katsu office,Eating Out
mns,Groceries
Voxi,Bills
Biang Biang Noodles,Eating Out
Train Amsterdam,Travel
Linguini ,Eating Out
Bulldog Drinks,Eating Out
Red Light Bar Drinks,Eating Out
Uber Amsterdam,Travel
iCloud,Bills
Omelegg Amsterdam,Eating Out
Fries Amsterdam,Eating Out
WowCrab Amsterdam,Eating Out
Amsterdam Supermkt,Groceries
Water Amsterdam,Groceries
Cafe Amsterdam,Eating Out
Bus Amsterdam,Travel
Thames Water,Bills
Elec ,Bills
Lidl,Groceries
Tesco,Groceries
Oyster,Transportation
Dial Arch,Eating Out
Eat Tokyo w Aloy,Eating Out
Lidl,Groceries
mns,Groceries
Eat Tokyo,Eating Out
ubs breakfast,Eating Out
ubs breakfast,Eating Out
ubs,Eating Out
Tesco,Groceries
Oyster,Transportation
Lidl,Groceries
Tea from tkmax,Groceries
lidl bread,Groceries
DisneySea,Travel
yoga,Social
mns cake,Gifts
atm,Eating Out
atm,Eating Out
c2c cable,Shopping
Puzzle Amsterdam,Shopping
Dog Food,Dogs
Hotel tax Amsterdam,Travel
Tesco,Groceries
Lidl,Groceries
Lidl,Groceries
Rent,Bills
Hoshi,Eating Out
Popeyes,Eating Out
Lidl,Groceries
M&Ms,Eating Out
Three Uncles,Eating Out
Donation,Gifts
Yeye Noodles,Eating Out
Tsujiri,Eating Out
TKMaxx - poop bag,Dogs
Lidl,Groceries
mns,Groceries
Oyster,Transportation
ubs breakfasrt,Eating Out
mints ubs,Eating Out
Voxi,Bills
UBS breakfast,Eating Out
ubs mnm,Eating Out
Badminton,Social
Lidl,Groceries
Hail Mary Odeon,Social
Greek box ,Eating Out
phad thai,Eating Out
popcorn mns,Social
Waggel,Dogs
UBS Breakfast,Eating Out
Donation Church,Gifts
UNiqlo,Shopping
Lunch w Janelle,Eating Out
LSE Fried Rice,Eating Out
TKMaxx,Shopping
Lidl,Groceries
Oyster Topup,Transportation
ubs mnm,Eating Out
mns,Groceries
roti king,Eating Out
pints w Jan,Eating Out
ubs breakfast,Eating Out
mns,Groceries
lidl,Groceries
mns,Groceries
badminton,Social
Lidl,Groceries
mns,Groceries
Dog Park w Nicole,Social
Tesco,Groceries
mns,Groceries
Donation Church,Gifts
Plaza Khao Gaeng w Nicole Treat Robin,Eating Out
tjx,Shopping
Oyster topup,Transportation
Lidl,Groceries
Thames Water,Bills
Council,Bills
icloud,Bills
Thames Water,Bills
Elec ,Bills
Whittard for gifts,Gifts
boots,Grooming
mns,Groceries
ubs breakfast,Eating Out
UBS,Eating Out
Yeye Noodle,Eating Out
Oyster topup,Transportation
Tesco,Groceries
ubs breakfast,Eating Out
mns,Groceries
Tesco,Groceries
Foxtons,Bills
Esim singapore,Travel
NTUC Singapore,Groceries
Singapore public transport,Travel
Birds of paradise singapore,Eating Out
Singapore transport,Travel
Maya mobile japan esim,Travel
japan combini,Eating Out
suica,Travel
train ticket japan,Travel
Ichiran,Eating Out
japan combini,Eating Out
japan combini,Eating Out
japan combini,Eating Out
suica,Travel
food,Eating Out
Locker,Eating Out
Lawson,Eating Out
yakiniku,Eating Out
Daiso,Shopping
7-11,Eating Out
Suica,Travel
Montbell,Shopping
japan combini,Eating Out
japan combini,Eating Out
Daily Yamazaki,Eating Out
lawson,Eating Out
suica,Travel
food shinkansen,Eating Out
Shinkansen,Travel
food arashimaya,Eating Out
arashimaya bread,Eating Out
7-11,Eating Out
tokyo disney sea,Eating Out
Suica,Travel
suica,Travel
japan combinii,Eating Out
Lawson,Eating Out
unatoto tokyo,Eating Out
Daiso,Shopping
Bento Tokyo,Eating Out
Montbell Tokyo,Shopping
Singapore Transport,Travel
Expensive dessert,Eating Out
Uniqlo,Shopping
Eating at arata recc,Eating Out
Groceries Jpn,Groceries
Suica,Travel
Voxi,Bills
Uniqlo,Shopping
Donki,Shopping
Suica,Travel
Suica,Travel
Suica,Travel
Roku Gin,Shopping
Heavenly Wang,Eating Out
Waggel,Dogs
iceland eggs,Groceries
Lidl,Groceries
UBS,Eating Out
UBS,Eating Out
M&S,Eating Out
Lidl,Groceries
Oyster Topup,Transportation
MnS,Groceries
Virgin,Bills
SSE Heating,Bills
Dishoom,Shopping
Noodle n Beer,Eating Out
UBS,Eating Out
UBS,Eating Out
badminton,Social
UBS,Eating Out
Tesco,Groceries
Lidl,Groceries
Beer,Eating Out
Cafe w Nicole n Nicholas,Eating Out
mns,Groceries
Donation to homeless church,Gifts
MnS,Groceries
Vue Cinema,Social
Oseyo,Groceries
mns,Groceries
oseyo,Groceries
Council Tax,Bills
UBS Breakfast,Eating Out
UBS,Eating Out
UBS Breakfast,Eating Out
iCloud,Bills
Katsu Lunch,Eating Out
Kebab,Eating Out
UBS Breakfast,Eating Out
Three uncles,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Office Katsu Market,Eating Out
C&R,Eating Out
Tsujiri,Eating Out
Dog Bowl,Dogs
TKMaxx dog shampoo,Dogs
Lidl,Groceries
Lidl,Groceries
Thames Water,Bills
Octopus Energy,Bills
UBS Breakfast,Eating Out
Tesco,Groceries
Viet Baguette,Eating Out
UBS Breakfast,Eating Out
